Country,Name,Age,Ht.,Nickname,MMA record
United States,Brad Tavares,36,6 ft 1 in (1.85 m),,20–9
United States,Chris Weidman,39,6 ft 2 in (1.88 m),The All-American,15–7
Australia,Robert Whittaker (fighter),33,6 ft 0 in (1.83 m),The Reaper,24–7
United States,Sean Strickland,32,6 ft 1 in (1.85 m),Tarzan,28–6
United States,Bryan Barberena,34,6 ft 0 in (1.83 m),Bam Bam,18–11
United States,Jared Cannonier,39,5 ft 11 in (1.80 m),Tha Killa Gorilla,17–6
Nigeria,Kamaru Usman,36,6 ft 0 in (1.83 m),The Nigerian Nightmare,21–4
Brazil,Warlley Alves,33,5 ft 11 in (1.80 m),,14–7
Italy,Marvin Vettori,30,6 ft 0 in (1.83 m),The Italian Dream,19–6–1
Norway,Jack Hermansson,35,6 ft 1 in (1.85 m),The Joker,24–8
Ghana,Abdul Razak Alhassan,38,5 ft 10 in (1.78 m),Judo Thunder,12–6
United States,Gerald Meerschaert,36,6 ft 1 in (1.85 m),GM3,35–17
Scotland,Paul Craig,36,6 ft 4 in (1.93 m),BearJew,17–7–1
Brazil,Paulo Costa,32,6 ft 0 in (1.83 m),The Eraser,14–2
United States,Eryk Anders,36,6 ft 2 in (1.88 m),Ya Boi,15–8 (1 NC)
United States,Julian Marquez,33,6 ft 2 in (1.88 m),The Cuban Missile Crisis,9–4
Poland,Michał Oleksiejczuk,28,6 ft 0 in (1.83 m),Hussar,19–6 (1 NC)
Nigeria,Israel Adesanya,34,6 ft 4 in (1.93 m),The Last Stylebender,24–3
Morocco,Abu Azaitar,37,5 ft 10 in (1.78 m),Gladiator,14–3–1 (1 NC)
United States,Edmen Shahbazyan,26,6 ft 2 in (1.88 m),,12–4
United States,Anthony Hernandez (fighter),30,6 ft 0 in (1.83 m),Fluffy,11–2 (1 NC)
Canada,Marc-André Barriault,33,6 ft 1 in (1.85 m),Power Bar,16–6 (1)
Brazil,Michel Pereira,30,6 ft 2 in (1.88 m),Demolidor,29–11 (2 NC)
Brazil,Rodolfo Vieira,34,5 ft 11 in (1.80 m),Tha Black Belt Hunter,10–2
South Korea,Jun Yong Park,32,6 ft 0 in (1.83 m),The Iron Turtle,17–6
Uzbekistan,Makhmud Muradov,34,6 ft 2 in (1.88 m),Mach,26–8-0 (1 NC)
United States,Brendan Allen,28,6 ft 2 in (1.88 m),All In,23–5
Russia,Roman Kopylov,32,6 ft 0 in (1.83 m),,12-2
Brazil,André Muniz,33,6 ft 2 in (1.88 m),Sergipano,24–6
United States,Punahele Soriano,31,6 ft 0 in (1.83 m),Story Time,9–4
United Arab Emirates,Khamzat Chimaev,29,6 ft 2 in (1.88 m),Borz,13–0
Georgia (country),Roman Dolidze,35,6 ft 3 in (1.91 m),Bazooka,12–3
France,Nassourdine Imavov,28,6 ft 3 in (1.91 m),,13–4 (1)
Serbia,Duško Todorović,29,6 ft 1 in (1.85 m),,12–4
South Africa,Dricus du Plessis,30,6 ft 0 in (1.83 m),Stillknocks,21–2
Australia,Jacob Malkoun,28,6 ft 1 in (1.85 m),Mamba,7–3
United States,Dustin Stoltzfus,32,5 ft 11 in (1.80 m),,15–5
United States,Jamie Pickett,35,6 ft 2 in (1.88 m),The Nightwolf,13–10
Brazil,Gregory Rodrigues,31,6 ft 3 in (1.91 m),Robocop,15–5
Brazil,Bruno Silva (fighter),34,6 ft 0 in (1.83 m),Blindado,23–10
United States,Andre Petroski,32,6 ft 0 in (1.83 m),,10–2
United States,Cody Brundage,29,6 ft 0 in (1.83 m),,10–5
United States,Chris Curtis (fighter),36,5 ft 10 in (1.78 m),The Action Man,31–10 (1)
United States,Chidi Njokuani,35,6 ft 3 in (1.91 m),Chidi Bang Bang,22–10 (1 NC)
United States,Tresean Gore,29,6 ft 0 in (1.83 m),Mr. Vicious,4–2
United States,A.J. Dobson,32,6 ft 1 in (1.85 m),,7–2
Armenia,Armen Petrosyan (fighter),33,6 ft 3 in (1.91 m),Superman,8–3
Russia,Aliaskhab Khizriev,33,5 ft 9 in (1.75 m),The Black Wolf,14–0-0 (1 NC)
Russia,Denis Tiuliulin,35,6 ft 1 in (1.85 m),,10–9 (1 NC)
United States,Josh Fremd,30,6 ft 4 in (1.93 m),,11–5
Brazil,Caio Borralho,31,5 ft 10 in (1.78 m),The Natural,15–1 (1 NC)
Ukraine,Ihor Potieria,27,6 ft 3 in (1.91 m),The Duelis,21–5
Germany,Abusupiyan Magomedov,33,6 ft 2 in (1.88 m),Abus,25–6–1
United States,Joe Pyfer,27,6 ft 2 in (1.88 m),Bodybagz,12–3
Brazil,Claudio Ribeiro,31,6 ft 1 in (1.85 m),,11–4
Brazil,Brunno Ferreira,31,5 ft 10 in (1.78 m),The Hulk,11–1
United States,Bo Nickal,28,6 ft 1 in (1.85 m),,5–0
Russia,Albert Duraev,35,5 ft 11 in (1.80 m),Machete,16–5
United States,Sedriques Dumas,28,6 ft 2 in (1.88 m),The Reaper,9–1
England,Christian Leroy Duncan,28,6 ft 2 in (1.88 m),,9–1
Russia,Ikram Aliskerov,31,6 ft 0 in (1.83 m),,15–1
Uzbekistan,Nursulton Ruziboev,30,6 ft 5 in (1.96 m),Black,35–8–2
Jamaica,Valentine Woodburn,30,5 ft 8 in (1.73 m),The Animal,7–1
Russia,Sharabutdin Magomedov,29,6 ft 2 in (1.88 m),Bullet,12–0
United States,Zachary Reese,29,6 ft 4 in (1.93 m),Savage,6–1
Poland,Robert Bryczek,33,6 ft 0 in (1.83 m),,17–6
